run_id,approach,comms_dropout,seed,steps,grid_size,terrain_source,terrain_cache_path,ignore_happo_env
141,random_walk,0.6,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
142,random_walk,0.6,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
143,random_walk,0.6,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
144,random_walk,0.6,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
145,random_walk,0.6,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
146,random_walk,0.6,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
147,random_walk,0.6,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
148,random_walk,0.6,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
149,random_walk,0.6,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
150,random_walk,0.6,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
151,random_walk,0.6,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
152,random_walk,0.6,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
153,random_walk,0.8,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
154,random_walk,0.8,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
155,random_walk,0.8,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
156,random_walk,0.8,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
157,random_walk,0.8,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
158,random_walk,0.8,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
159,random_walk,0.8,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
160,random_walk,0.8,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
161,random_walk,0.8,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
162,random_walk,0.8,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
163,random_walk,0.8,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
164,random_walk,0.8,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
165,random_walk,0.8,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
166,random_walk,0.8,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
167,random_walk,0.8,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
168,random_walk,0.8,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
169,random_walk,0.8,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
170,lawnmower,0.0,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
171,lawnmower,0.0,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
172,lawnmower,0.0,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
173,lawnmower,0.0,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
174,lawnmower,0.0,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
175,lawnmower,0.0,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
176,lawnmower,0.0,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
177,lawnmower,0.0,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
178,lawnmower,0.0,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
179,lawnmower,0.0,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
180,lawnmower,0.0,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
181,lawnmower,0.0,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
182,lawnmower,0.0,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
183,lawnmower,0.0,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
184,lawnmower,0.0,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
185,lawnmower,0.0,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
186,lawnmower,0.0,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
187,lawnmower,0.2,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
188,lawnmower,0.2,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
189,lawnmower,0.2,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
190,lawnmower,0.2,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
191,lawnmower,0.2,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
192,lawnmower,0.2,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
193,lawnmower,0.2,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
194,lawnmower,0.2,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
195,lawnmower,0.2,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
196,lawnmower,0.2,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
197,lawnmower,0.2,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
198,lawnmower,0.2,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
199,lawnmower,0.2,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
200,lawnmower,0.2,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
201,lawnmower,0.2,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
202,lawnmower,0.2,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
203,lawnmower,0.2,16,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
204,lawnmower,0.4,0,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
205,lawnmower,0.4,1,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
206,lawnmower,0.4,2,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
207,lawnmower,0.4,3,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
208,lawnmower,0.4,4,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
209,lawnmower,0.4,5,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
210,lawnmower,0.4,6,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
211,lawnmower,0.4,7,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
212,lawnmower,0.4,8,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
213,lawnmower,0.4,9,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
214,lawnmower,0.4,10,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
215,lawnmower,0.4,11,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
216,lawnmower,0.4,12,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
217,lawnmower,0.4,13,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
218,lawnmower,0.4,14,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
219,lawnmower,0.4,15,500,128,real,data/terrain_cache/f15b8960d21b_128.npz,False
